leaid,grad_rate_midpt
0600034,88.44623484365029
0600035,87.91246200607902
0600036,91.995142880272
0600037,90.70945945945945
0600038,69.9390625
0600039,93.41468819246597
0600040,93.68336483931947
0600042,75
0600043,94.7174238642037
0600044,86.62878435025617
0600045,93.30171796707229
0600046,92.8453639383872
0600047,88.6366102630127
0600048,87.75485557768924
0600049,88.39858490566037
0600051,84.38810900082576
0600052,88.96470588235294
0600060,93.57142857142857
0600061,88.91185897435898
0600062,88.46178457163171
0600063,89.61495962600935
0600064,88.12864379665837
0600065,91.23998602701444
0600067,92.77578671328672
0600068,87.98503740648378
0600069,89.9756430685181
0600116,73.92807424593968
0600153,93.29094093928677
0600158,92.40219625345
0600159,91.09759999999999
0600160,86.60658370132477
0601331,86.83783783783784
0601332,83.09685249615664
0601339,92.08439201451907
0601409,82.89449348465742
0601410,93.96699029126214
0601414,86.7442256260637
0601415,82.63597819503332
0601418,86.93328525063109
0601421,93.00609484168277
0601423,86.64401041666666
0601426,76.97536945812809
0601427,55.468085106382986
0601428,75
0601442,71.25065274151436
0601620,90.84966742443378
0601650,96.02046155910371
0601770,88.04365152919371
0601860,91.55471004985569
0602010,69.32065217391305
0602430,88.65409291180336
0602450,88.0137747704205
0602630,84.88519820584314
0602670,88.11752411575563
0602700,85.83882611424984
0602730,89.88342696629213
0602820,79.45138550376842
0602850,79.2937780932103
0602970,97.2431575131412
0603030,90.79673154608886
0603180,53.0603448275862
0603300,92.00588853838066
0603600,88.2363164024008
0603610,75
0603690,92.05064587719798
0603840,71.05605950653121
0604020,80.48325513670927
0604110,93.61765299939407
0604230,85.66711364398257
0604290,88.65042837218569
0604440,90.1019264222666
0604620,93.93039082247714
0604740,84.82311827956988
0604830,92.31673665266946
0604950,75
0605010,81.12107623318386
0605040,87.57805255023183
0605240,87.6125574272588
0605610,91.24924512764206
0605700,86.37476808905382
0605820,93.576386064796
0605880,94.57382015306123
0605940,92.53242045912204
0606450,90.60419634052809
0606570,76.07826086956521
0606580,78.54838709677419
0606780,87.20277149321267
0606870,91.11993472939896
0606900,82.89015051491947
0606990,90.38634764250529
0607020,92.0092879256966
0607230,86.92576582567855
0607440,95.4696132596685
0607500,91.51725132148006
0607530,94.80629342051492
0607560,91.90259978030026
0607800,93.64059570922724
0607900,86.50918484500573
0607920,83.40259597404027
0607970,82.87449496568973
0608010,87.7316684716825
0608130,85.18593963482797
0608160,87.97395874362753
0608190,93.87569487337862
0608370,87.31052961235994
0608460,89.40461637221244
0608550,87.69020251778872
0608760,93.4834007105231
0608970,80.59594680177328
0609030,92.24021329828906
0609070,81.05907869300769
0609120,77.73766640563821
0609390,85.2128183747726
0609570,81.6042654028436
