dist,children,predom_race,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian
Southwest Region School District,619,Native American,60.43759873617693,33.814,34.517,17.207,33.648,19.333,3.069,0.646,0,3.6,0,92,0.6
Tanana City School District,39,NA,NA,16.667,47.826,11.429,11.458,36.364,12.821,0,NA,NA,NA,NA,NA
Unalaska City School District,594,Hispanic/Latino,87.66773162939296,5.714,24.28,19.94,11.795,11.497,3.704,3.199,39.8,12.8,0,2.3,30.8
Chatham School District,128,Native American,75,22.093,47.525,22.983,2.79,17.045,6.25,0,15,20,0,45,0
Kuspuk School District,332,Native American,65.26384364820846,36.628,46.559,9.978,30.147,22.152,0.904,0.301,2.5,1,0,87.3,0
Denali Borough School District,191,White,61.483050847457626,7.037,18.478,43.572,2.347,0,7.33,0,0,78.1,0,0,12.5
Yukon Flats School District,245,Native American,65.50769230769231,31.203,59.358,13.349,19.058,69.345,3.673,0.816,7.5,0,0,81.1,0
Valdez City School District,634,NA,NA,15,21.293,14.293,0,10.483,10.252,0,NA,NA,NA,NA,NA
Chugach School District,81,NA,NA,5.263,38.235,21.547,6.433,7.921,4.938,0,NA,NA,NA,NA,NA
Wrangell School District,377,White,79.1375,13.247,30.473,25.887,2.142,8.519,1.061,0,4.2,50,0,23.6,4.2
Yakutat School District,125,White,75,15.19,35.345,21.849,6.897,12.299,1.6,3.2,8,40,0,24,8
Yukon-Koyukuk School District,427,Native American,48.11568938193344,30.851,43.944,19.515,19.414,46.838,7.963,0,4.4,12.1,0,76.9,0.9
Cave Creek Unified District,7522,White,92.55798355690176,6.86,11.641,25.848,0.437,1.887,4.241,1.502,7,79.3,0.6,0.4,5.7
Chino Valley Unified District,2994,White,88.35454164922561,13.484,28.896,30.556,2.023,10.496,3.774,0.568,31.3,62.5,0,0,4.3
Clarkdale-Jerome Elementary District,272,White,NA,11.246,7.663,23.607,0.238,7.94,0.368,0,7.3,85.5,0,5.5,0
Salome Consolidated Elementary District,158,NA,NA,51.163,83.459,38.764,1.134,72.152,0,29.747,NA,NA,NA,NA,NA
Colorado City Unified District,2878,White,65.4159090909091,31.554,33.537,28.571,49.94,48.906,2.953,0,0,100,0,0,0
Vernon Elementary District,139,NA,NA,26.054,0,35.873,3.349,9.091,7.914,0,NA,NA,NA,NA,NA
Pinon Unified District,1421,Native American,70.55511420059582,46.955,52.857,16.121,16.375,59.387,5.771,4.433,1.7,0,0,96.2,0.7
Heber-Overgaard Unified District,614,White,86.51582278481013,30.833,21.111,42.647,2.889,2.232,2.28,0,12,61.6,0,16,0.6
Colorado River Union High School District,7796,White,81.44819751590427,22.886,55.81,48.641,3.214,10.758,4.579,3.899,42,55,0,1.7,0
Benson Unified School District,1179,White,86.49845679012346,27.475,59.319,29.651,0.36,0,4.326,8.991,23.6,71.3,0.9,0,0.9
Kingman Unified School District,8988,White,72.38709677419355,25.355,44.44,33.682,4.058,11.063,8.311,0.367,21.6,69.1,1.9,3.1,0.7
Agua Fria Union High School District,29203,Hispanic/Latino,89.60792034396923,10.048,29.047,28.736,3.942,10.698,3.393,3.277,43.3,36.3,9.6,1,3
Aguila Elementary District,288,Hispanic/Latino,77.48717948717949,30.047,39.483,16.754,13.291,49.856,0,15.972,95,0,0,5,0
Ajo Unified District,561,NA,NA,27.685,71.769,43.451,5.701,8.482,0,0,NA,NA,NA,NA,NA
